"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
370 0.601053611720328 1 16 "GO:0000003" "reproduction" 0.783082256078644
-3148 0.00011814570094889 6 12 "GO:0000012" "single strand break repair" 0.00279119218491753
-344 0.343414277970318 3 61 "GO:0000018" "regulation of DNA recombination" 0.574723432309452
-1021 0.0839848337258467 7 23 "GO:0000027" "ribosomal large subunit assembly" 0.255195073539952
1199 0.0045671232923156 4 45 "GO:0000041" "transition metal ion transport" 0.0390085395543183
-322 0.435956017561308 2 47 "GO:0000045;GO:1905037" "autophagosome organization" 0.650492268308583
-470 0.446989130386063 3 21 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.658723027866981
-696 0.272333298829104 2 20 "GO:0000076" "DNA replication checkpoint signaling" 0.502527663532749
-212 0.653862997445428 2 36 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.824600354874461
-230 0.520062964022124 4 63 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.722296695168532
-534 0.152144165813288 4 58 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.365842081816087
-534 0.258196227329072 2 36 "GO:0000096" "sulfur amino acid metabolic process" 0.491265976159677
147 0.740528491226181 3 41 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.870036582107842
-788 0.192050994250414 6 22 "GO:0000154" "rRNA modification" 0.412160914988587
53 0.851097168192117 2 101 "GO:0000165" "MAPK cascade" 0.927309943053287
-1071 0.00475423482725192 2 56 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.039994824140235
-1200 0.160031143252495 -1 11 "GO:0000186" "obsolete activation of MAPKK activity" 0.374639381602662
-269 0.591270635095693 -1 32 "GO:0000187" "obsolete activation of MAPK activity" 0.775762576170915
-1012 4.58095377227559e-07 2 203 "GO:0000209" "protein polyubiquitination" 3.02023347544216e-05
57 0.922593993691334 6 23 "GO:0000212" "meiotic spindle organization" 0.964702006506413
-430 0.00745216265576252 2 321 "GO:0000226" "microtubule cytoskeleton organization" 0.0548750159197058
-1077 0.207047485981344 3 11 "GO:0000245" "spliceosomal complex assembly" 0.430793936372537
-1449 0.0475846318986795 3 15 "GO:0000266;GO:0003374" "mitochondrial fission" 0.176630833540492
938 0.199687711418262 2 15 "GO:0000271" "polysaccharide biosynthetic process" 0.422789142547254
651 0.40696962249861 5 13 "GO:0000272" "polysaccharide catabolic process" 0.628408975916971
-773 0.00175159738029337 2 133 "GO:0000278" "mitotic cell cycle" 0.019642153998828
-507 0.0628303281042495 3 109 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.212052357351842
-1020 0.13760573221213 4 17 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.34310664100386
-1527 0.0114722893622359 7 22 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.073918046231679
-1591 0.00500640039880661 2 25 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.0411395511032369
379 0.227446272062507 2 82 "GO:0000302;GO:0034614" "response to reactive oxygen species" 0.456389611791102
-1450 0.00784181392766402 2 27 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.0570039550895577
-1006 8.3562233909836e-05 5 124 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.00219350864013319
-1140 3.87442305314267e-11 6 277 "GO:0000398;GO:0000377;GO:0000375;GO:0008380" "RNA splicing" 8.36944196224566e-09
-421 0.638147189323085 2 10 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.813184070708482
-60 0.897975275555831 2 37 "GO:0000422" "autophagy of mitochondrion" 0.955671260616013
569 0.486681325071239 5 12 "GO:0000423" "mitophagy" 0.692293806611622
-2199 0.000376829283721766 2 21 "GO:0000460" "maturation of 5.8S rRNA" 0.00667694387094504
-1686 0.0391695158002348 7 12 "GO:0000467;GO:0031125;GO:0071035;GO:0071046;GO:0043634;GO:0071029;GO:0043633" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.158266763271518
-1804 0.0172083097438328 7 14 "GO:0000470" "maturation of LSU-rRNA" 0.0954707595377025
-1626 0.0102596628623147 7 20 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0684379863874404
-1494 0.0677486120714317 9 12 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.222043138985559
-1345 0.0574973076261596 2 16 "GO:0000578" "embryonic axis specification" 0.200251679508799
-502 0.30934863452065 4 33 "GO:0000723;GO:0032200" "telomere organization" 0.542330946451602
-1174 2.57254805413861e-05 2 104 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.000852163730845966
-1037 0.156110065168955 3 15 "GO:0000727" "double-strand break repair via break-induced replication" 0.370371595031735
-249 0.518674023909195 2 54 "GO:0000731" "DNA synthesis involved in DNA repair" 0.721500321259773
-70 0.810917063515078 2 95 "GO:0000902" "cell morphogenesis" 0.905811613500885
-241 0.641318895358572 5 30 "GO:0000915;GO:0000912;GO:0044837" "actomyosin contractile ring assembly" 0.814915738243513
-802 7.54576118652098e-05 3 199 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.00201813518526292
