"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
718 0.298457124281477 1 16 "GO:0000003" "reproduction" 0.50109095941525
-2769 0.0005140329056447 6 12 "GO:0000012" "single strand break repair" 0.00387544591735381
-1602 8.766210896212e-06 2 59 "GO:0000018" "regulation of DNA recombination" 0.000132541297354684
-1969 0.000633407175994342 2 23 "GO:0000027" "ribosomal large subunit assembly" 0.00462503612497706
1438 0.00100375487142881 5 40 "GO:0000041" "transition metal ion transport" 0.00674607038392101
-391 0.337972675486617 3 46 "GO:0000045;GO:1905037" "autophagosome organization" 0.545480197571979
-427 0.489534225683032 5 20 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.681282749299747
-1733 2.29671491876846e-10 3 103 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 1.18323350074331e-08
-1871 0.0024530235300738 3 20 "GO:0000076" "DNA replication checkpoint signaling" 0.0137864877993239
-745 0.111078841076408 2 35 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.253920571795043
-493 0.157414521926214 2 63 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.326280642318156
-1241 0.000886331248501289 2 55 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.00607988782704601
1243 0.00783396473075507 2 35 "GO:0000096" "sulfur amino acid metabolic process" 0.0344235293494999
-139 0.750484347211775 3 40 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.86453310722284
-1441 0.0144610693087745 3 22 "GO:0000154" "rRNA modification" 0.0554906135407044
60 0.829819014797632 5 98 "GO:0000165" "MAPK cascade" 0.906133488846029
-1129 0.00227436107005015 2 56 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0129657223296711
-1036 0.213406527193802 -1 11 "GO:0000186" "obsolete activation of MAPKK activity" 0.404425721153377
840 0.0857682909878138 -1 32 "GO:0000187" "obsolete activation of MAPK activity" 0.21304230850723
-843 2.90148651569845e-05 2 191 "GO:0000209" "protein polyubiquitination" 0.000358752688296582
-224 0.697809776538637 3 23 "GO:0000212" "meiotic spindle organization" 0.833178883403643
-290 0.0675321960874771 4 312 "GO:0000226" "microtubule cytoskeleton organization" 0.177019968957501
-2033 0.0146265089656067 2 11 "GO:0000245" "spliceosomal complex assembly" 0.0558766641741252
-471 0.508529505337331 2 15 "GO:0000266;GO:0003374" "mitochondrial fission" 0.698286813350669
-472 0.507869234098185 2 15 "GO:0000271" "polysaccharide biosynthetic process" 0.697724547783284
1425 0.0627947885711087 2 13 "GO:0000272" "polysaccharide catabolic process" 0.167362967089336
-731 0.00241078942407817 2 133 "GO:0000278" "mitotic cell cycle" 0.0136135272682246
