"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-924 0.587947180161978 1 10 "GO:0000003" "reproduction" 0.890845696000111
3540 0.0179808319971927 2 13 "GO:0000027" "ribosomal large subunit assembly" 0.22659778966494
1612 0.321562150625752 2 11 "GO:0000028" "ribosomal small subunit assembly" 0.733423500225887
311 0.80170767241273 3 19 "GO:0000041" "transition metal ion transport" 0.950321483544997
1468 0.326484710522239 6 13 "GO:0000045;GO:1905037" "autophagosome organization" 0.733423500225887
3587 0.137050291687213 3 5 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.532133201516558
-4515 0.0403147492907291 -1 6 "GO:0000059;GO:0006610" "obsolete protein import into nucleus, docking" 0.344989927906062
-1515 0.426969890015731 -1 8 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.814242647757689
-5659 0.00550878638235961 2 7 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.148292589663914
-1430 0.107025488444342 7 37 "GO:0000075;GO:1901988;GO:0010948" "negative regulation of cell cycle process" 0.48333168444517
-4410 0.0141869544586071 4 9 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.205904109946524
-4625 0.0153084628925298 5 8 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.208386487318015
-1614 0.0728109428739906 2 36 "GO:0000086;GO:0044772;GO:0044839;GO:0044770" "cell cycle phase transition" 0.437798373775377
-477 0.678219750879973 4 22 "GO:0000096" "sulfur amino acid metabolic process" 0.917340673621119
567 0.694195360193333 3 14 "GO:0000097" "sulfur amino acid biosynthetic process" 0.917340673621119
-1050 0.0749294937507462 2 84 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.437798373775377
-678 0.722358256907098 7 8 "GO:0000132;GO:0040001" "establishment of mitotic spindle localization" 0.917340673621119
-1362 0.362542440533556 2 13 "GO:0000154" "rRNA modification" 0.764281227317978
2585 0.00357898119149342 3 37 "GO:0000165" "MAPK cascade" 0.125272283319011
2603 0.0467044182813755 3 17 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.3687579352832
908 0.680232312146874 -1 6 "GO:0000187" "obsolete activation of MAPK activity" 0.917340673621119
1098 0.187519362027652 3 42 "GO:0000209" "protein polyubiquitination" 0.590107168712745
-1153 0.0740808994357503 4 70 "GO:0000226" "microtubule cytoskeleton organization" 0.437798373775377
-327 0.84046079860668 3 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.954632339506848
-161 0.911241099919466 3 14 "GO:0000245" "spliceosomal complex assembly" 0.978156819805386
-1412 0.266982834714426 2 18 "GO:0000278" "mitotic cell cycle" 0.691816252486115
1051 0.383635921798272 3 20 "GO:0000280;GO:0048285" "organelle fission" 0.782561681059519
-1179 0.430675438568327 4 13 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.816235359004398
-1632 0.423383775013705 3 7 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.812737664891546
-213 0.916675266933401 6 7 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.979386179045241
486 0.77557815166208 8 10 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.938177996042739
-2034 0.233035614512956 4 10 "GO:0000302" "response to reactive oxygen species" 0.650573806466748
-1226 0.363194184565754 3 16 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.764281227317978
-1315 0.253129058695986 2 22 "GO:0000387" "spliceosomal snRNP assembly" 0.680524018049399
-239 0.674735413601167 8 90 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.917340673621119
-1606 0.162813869874577 2 22 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.558433175700867
1388 0.393501597573612 4 11 "GO:0000422" "autophagy of mitochondrion" 0.791994410440598
3078 0.106501609539516 2 8 "GO:0000460" "maturation of 5.8S rRNA" 0.482255277512715
5194 0.0183483825461586 4 6 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.22659778966494
789 0.698718369942626 4 7 "GO:0000467;GO:0031125" "rRNA 3'-end processing" 0.917340673621119
2444 0.079314044078087 2 15 "GO:0000470" "maturation of LSU-rRNA" 0.44505455298302
1510 0.49285529970155 2 6 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.844252131030343
-384 0.813449778354136 2 11 "GO:0000578" "embryonic axis specification" 0.951169080255943
1225 0.578157944959245 6 6 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.889352248666817
-2590 0.282896231066362 4 5 "GO:0000722" "telomere maintenance via recombination" 0.70369916682045
-1900 0.20421650990716 3 13 "GO:0000723;GO:0032200" "telomere maintenance" 0.612371795703708
-1126 0.38967171695952 5 17 "GO:0000724;GO:0000725" "recombinational repair" 0.788309854790294
449 0.709938725724491 2 20 "GO:0000902" "cell morphogenesis" 0.917340673621119
-1597 0.222352011479167 3 17 "GO:0000910" "cytokinesis" 0.630121723805894
