transcriptID_trim,log2FoldChange
TRINITY_DN134798_c0_g1,-2.302398396
TRINITY_DN83766_c0_g1,-2.504570205
TRINITY_DN146851_c0_g5,2.305616843
TRINITY_DN135697_c0_g15,-2.42453065
TRINITY_DN147342_c0_g4,2.5289611
TRINITY_DN132194_c0_g1,1.606289449
TRINITY_DN148590_c0_g17,2.301166957
TRINITY_DN130767_c1_g1,-2.116067912
TRINITY_DN150715_c7_g13,-2.122753627
TRINITY_DN148590_c0_g20,2.210706403
TRINITY_DN143551_c0_g9,-2.577747789
TRINITY_DN125348_c0_g2,-1.800616076
TRINITY_DN134960_c1_g9,2.072894978
TRINITY_DN146731_c0_g23,0.975956273
TRINITY_DN147510_c0_g1,2.387448815
TRINITY_DN140475_c1_g2,-2.210390634
TRINITY_DN136917_c0_g1,2.323198132
TRINITY_DN141544_c0_g6,2.902388705
TRINITY_DN83855_c0_g1,-2.296403523
TRINITY_DN150758_c2_g6,2.134299555
TRINITY_DN141400_c0_g1,1.261042977
TRINITY_DN144121_c1_g3,1.167055907
TRINITY_DN141906_c0_g2,2.282117558
TRINITY_DN130055_c0_g1,2.66852589
TRINITY_DN147342_c0_g13,2.172846521
TRINITY_DN148783_c1_g1,-2.140608022
TRINITY_DN147010_c0_g14,1.404510137
TRINITY_DN136939_c0_g10,2.608706009
TRINITY_DN131383_c2_g1,-2.428300994
TRINITY_DN140475_c1_g1,-2.105031562
TRINITY_DN148197_c0_g9,-1.81728875
TRINITY_DN137321_c9_g1,2.535902686
TRINITY_DN123625_c0_g1,-1.575002376
TRINITY_DN143204_c5_g1,-2.97567206
TRINITY_DN138376_c1_g4,1.632651286
TRINITY_DN819_c0_g1,-1.873180775
TRINITY_DN133102_c0_g2,1.562541458
TRINITY_DN150696_c2_g1,2.182150629
TRINITY_DN150715_c7_g14,-2.253027286
TRINITY_DN150011_c0_g3,-3.568814053
TRINITY_DN147856_c0_g9,-1.111895056
TRINITY_DN147010_c0_g7,1.367810545
TRINITY_DN148846_c1_g1,0.614223172
TRINITY_DN130157_c0_g1,-1.729161832
TRINITY_DN141424_c7_g11,2.315139681
TRINITY_DN142065_c0_g20,-1.063022735
TRINITY_DN140540_c0_g1,2.793697718
TRINITY_DN147010_c0_g2,1.275247561
TRINITY_DN90711_c0_g1,-1.846070943
TRINITY_DN140461_c1_g8,2.555925182
TRINITY_DN150696_c2_g3,2.033464983
TRINITY_DN137134_c0_g1,1.350164968
TRINITY_DN142848_c0_g1,2.118931595
TRINITY_DN116995_c1_g1,1.208320873
TRINITY_DN144223_c1_g1,0.946584627
TRINITY_DN134960_c1_g11,1.696738169
TRINITY_DN146286_c0_g2,1.528134047
TRINITY_DN150151_c4_g6,1.402142337
TRINITY_DN18959_c0_g2,-2.537857637
TRINITY_DN150758_c2_g4,1.560953727
TRINITY_DN140919_c0_g5,2.533599688
TRINITY_DN148859_c0_g9,1.836379171
TRINITY_DN149179_c1_g3,1.332766423
TRINITY_DN140528_c3_g1,0.743529477
TRINITY_DN148097_c0_g7,1.701739568
TRINITY_DN79030_c0_g1,1.443441585
TRINITY_DN125480_c0_g5,0.951746691
TRINITY_DN147187_c0_g9,2.94753876
TRINITY_DN144814_c0_g6,1.63450579
TRINITY_DN133501_c0_g2,-2.161627861
TRINITY_DN124657_c0_g5,1.372255242
TRINITY_DN125031_c0_g1,1.709285991
TRINITY_DN134483_c2_g2,1.984495497
TRINITY_DN135502_c8_g4,-1.457329686
TRINITY_DN140571_c0_g1,0.999432465
TRINITY_DN145490_c0_g7,2.013220912
TRINITY_DN132507_c0_g1,-1.922110748
TRINITY_DN143694_c0_g10,1.406518513
TRINITY_DN137318_c0_g2,2.842399143
TRINITY_DN116797_c0_g1,-1.030492582
TRINITY_DN145196_c1_g7,1.646455483
TRINITY_DN128882_c0_g1,-1.695866578
TRINITY_DN121594_c0_g1,1.287497573
TRINITY_DN85238_c0_g1,-2.748262984
TRINITY_DN144725_c0_g1,1.673635374
TRINITY_DN133159_c0_g6,-0.984372268
TRINITY_DN140540_c0_g5,2.424747442
TRINITY_DN134271_c5_g5,2.10917356
TRINITY_DN129890_c0_g4,-2.232832611
TRINITY_DN141536_c2_g1,2.032678066
TRINITY_DN142747_c0_g1,2.688531307
TRINITY_DN146136_c2_g7,-0.791839299
TRINITY_DN140045_c0_g1,2.131244297
TRINITY_DN138845_c0_g1,2.367839774
TRINITY_DN113400_c1_g5,3.006641674
TRINITY_DN137747_c0_g3,1.77267263
TRINITY_DN143919_c1_g2,1.985606998
TRINITY_DN151272_c1_g6,1.048241351
TRINITY_DN147258_c0_g11,1.594182355
TRINITY_DN123676_c0_g2,-4.364921695
TRINITY_DN193280_c0_g1,-2.128349759
TRINITY_DN101693_c0_g1,-0.661112156
TRINITY_DN139285_c5_g13,1.653984665
TRINITY_DN129596_c1_g2,-2.283566224
TRINITY_DN114999_c0_g1,-1.26420751
TRINITY_DN142826_c0_g3,1.321543588
TRINITY_DN139693_c1_g5,0.826187433
TRINITY_DN135905_c0_g7,3.305234225
TRINITY_DN138843_c2_g1,1.712465144
TRINITY_DN137222_c0_g4,1.686286651
TRINITY_DN140141_c10_g6,-2.238755521
TRINITY_DN140851_c0_g6,1.916630121
TRINITY_DN146099_c1_g1,1.525703254
TRINITY_DN147187_c0_g12,2.639496868
TRINITY_DN149773_c0_g6,1.55724086
TRINITY_DN150173_c0_g4,0.954604763
TRINITY_DN133539_c0_g8,-1.702540982
TRINITY_DN142303_c1_g9,1.985912568
TRINITY_DN141958_c0_g3,-1.311641618
TRINITY_DN136394_c0_g3,1.646182511
TRINITY_DN147122_c2_g8,-1.50269335
TRINITY_DN130663_c0_g1,1.499945666
TRINITY_DN148604_c0_g1,1.978903247
TRINITY_DN121089_c0_g2,1.050220528
TRINITY_DN121469_c0_g2,1.002071418
TRINITY_DN131173_c1_g5,1.359719981
TRINITY_DN146256_c1_g4,1.345235815
TRINITY_DN131664_c5_g4,1.641804646
TRINITY_DN146060_c0_g24,0.763610592
TRINITY_DN134459_c5_g1,1.627938969
TRINITY_DN142673_c0_g3,-1.076951598
TRINITY_DN149869_c4_g2,0.735762788
TRINITY_DN136163_c5_g7,-1.376363977
TRINITY_DN145617_c1_g1,0.85563255
TRINITY_DN139314_c6_g8,1.649371723
TRINITY_DN130163_c19_g4,-5.597827977
TRINITY_DN137385_c0_g5,-1.257730594
TRINITY_DN148347_c0_g40,-0.992423006
TRINITY_DN148482_c6_g3,1.197964604
TRINITY_DN143140_c3_g2,2.358229113
TRINITY_DN148382_c2_g15,-0.693566711
TRINITY_DN138729_c0_g10,-1.558526058
TRINITY_DN143970_c1_g2,-0.985885904
TRINITY_DN134870_c1_g6,-1.719295848
TRINITY_DN141660_c2_g4,1.711093416
TRINITY_DN142796_c3_g9,1.399767828
TRINITY_DN150758_c2_g13,1.272734448
TRINITY_DN126672_c1_g2,1.118368799
TRINITY_DN142639_c0_g3,-0.600178704
TRINITY_DN136357_c6_g4,1.658412529
TRINITY_DN141133_c0_g1,0.721190581
TRINITY_DN145994_c0_g14,1.006234881
TRINITY_DN148347_c0_g6,-1.081636339
TRINITY_DN149993_c0_g4,1.828539529
TRINITY_DN148537_c2_g6,0.748579012
TRINITY_DN142027_c0_g1,1.353374673
TRINITY_DN135893_c1_g1,-0.667970706
TRINITY_DN142504_c3_g23,1.592663393
TRINITY_DN144121_c1_g18,0.877488744
TRINITY_DN145684_c8_g16,-0.741791254
TRINITY_DN140798_c1_g1,-1.142915035
TRINITY_DN141516_c0_g2,2.153844401
TRINITY_DN142938_c0_g1,-1.643402696
TRINITY_DN138470_c0_g1,1.251529783
TRINITY_DN121057_c0_g1,0.567005074
TRINITY_DN149265_c5_g4,0.954020245
TRINITY_DN147057_c0_g15,-1.901292523
TRINITY_DN142027_c0_g9,1.257320117
TRINITY_DN112242_c0_g1,-2.088562981
TRINITY_DN149823_c0_g1,1.072974363
TRINITY_DN131173_c1_g4,1.554200087
TRINITY_DN135364_c1_g1,1.914716746
TRINITY_DN137403_c2_g10,-0.80393722
TRINITY_DN145196_c1_g2,1.651302806
TRINITY_DN136050_c3_g1,0.554093105
TRINITY_DN143297_c0_g8,1.583616187
TRINITY_DN138456_c0_g8,0.778121896
TRINITY_DN140856_c1_g2,2.26283922
TRINITY_DN135336_c4_g4,1.595255972
TRINITY_DN116496_c0_g1,1.052836183
TRINITY_DN136589_c0_g2,-1.707250672
TRINITY_DN138367_c0_g3,1.919132828
TRINITY_DN144975_c0_g3,2.308392773
TRINITY_DN140049_c0_g4,2.0832694
TRINITY_DN147146_c1_g1,1.710875705
TRINITY_DN149013_c3_g7,-1.092742902
TRINITY_DN145343_c5_g43,-1.582953681
TRINITY_DN138225_c0_g3,-1.479023903
TRINITY_DN144731_c1_g13,0.553120548
TRINITY_DN134061_c4_g1,2.637145596
TRINITY_DN145745_c0_g5,1.273401834
TRINITY_DN150151_c4_g4,1.216014414
TRINITY_DN143996_c4_g8,-1.052836968
TRINITY_DN111464_c0_g1,1.589136518
TRINITY_DN140899_c0_g5,1.615796518
TRINITY_DN146734_c0_g12,0.943842969
TRINITY_DN149945_c3_g19,-0.530049192
TRINITY_DN140345_c0_g1,1.409062975
TRINITY_DN143652_c5_g25,-2.497329912
TRINITY_DN124867_c0_g1,1.556809721
TRINITY_DN142943_c1_g1,0.483773119
TRINITY_DN140623_c0_g9,-1.048847282
TRINITY_DN148482_c6_g5,0.853097885
TRINITY_DN151462_c5_g1,0.795212949
TRINITY_DN144955_c0_g3,1.008775914
TRINITY_DN137309_c0_g3,1.505317161
TRINITY_DN138871_c0_g10,1.051220016
TRINITY_DN141626_c1_g14,-0.802667154
TRINITY_DN128103_c2_g2,1.50662456
TRINITY_DN144025_c0_g8,2.029962819
TRINITY_DN114434_c0_g1,-1.453969137
TRINITY_DN129162_c2_g2,2.604887638
TRINITY_DN139755_c1_g4,-1.795367114
TRINITY_DN147312_c2_g1,0.796445236
TRINITY_DN148197_c0_g5,-0.784356143
TRINITY_DN143247_c0_g26,0.645231492
TRINITY_DN136684_c0_g1,1.360566299
TRINITY_DN143436_c0_g1,1.118214335
TRINITY_DN140657_c10_g10,1.505772865
TRINITY_DN136554_c0_g7,-1.554656999
TRINITY_DN135680_c4_g1,-1.241864484
TRINITY_DN150591_c1_g1,1.187682828
TRINITY_DN127141_c1_g1,-1.96028922
TRINITY_DN145418_c1_g2,-1.833199877
TRINITY_DN148330_c2_g9,1.890831039
TRINITY_DN150216_c2_g13,1.957360396
TRINITY_DN145665_c4_g4,0.962704479
TRINITY_DN139141_c0_g1,-1.638580906
TRINITY_DN57810_c0_g2,-2.369020994
